Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:21:17.900,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.860, -0.355, -0.015, 0.991, 0.427, -60.12, -0.183, -1.681, 24.774, 130.93, 0.000, 0.000, -3211.264, 24.95, 0.38336, -0.35208, 0.14209, 0.84189,
 12:21:17.900,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.860, -0.284, -0.015, 0.975, 0.427, -57.739, -0.122, -1.609, 21.973, 131.023, 0.000, 0.000, -3211.264, 24.95, 0.38336, -0.35208, 0.14209, 0.84189,
 12:21:17.986,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.860, -0.273, -0.016, 0.984, 0.488, -63.904, -0.244, -1.544, 19.061, 131.111, 0.000, 0.000, -3211.264, 24.95, 0.40469, -0.1745, 0.06415, 0.89529,
 12:21:18.001,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.880, 0.047, 0.013, 1.064, -0.366, 20.386, 0, 0.472, 4.543, 35.145, 0.000, 0.000, -3211.264, 25.1, 0.95297, -0.00452, 0.02863, 0.30148,
 12:21:18.003,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.880, 0.021, 0.014, 1.051, -0.305, 21.057, 0, 0.467, 5.306, 35.156, 0.000, 0.000, -3211.264, 25.1, 0.95297, -0.00452, 0.02863, 0.30148,
 12:21:18.016,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:13.250, -0.2, -0.015, 1.018, 0.549, -64.026, -0.305, -1.478, 15.958, 131.193, 0.000, 0.000, -3211.264, 24.95, 0.40469, -0.1745, 0.06415, 0.89529,
 12:21:18.063,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.880, 0.022, 0.012, 1.039, -0.244, 19.226, 0, 0.461, 6.037, 35.167, 0.000, 0.000, -3211.264, 25.1, 0.95297, -0.00452, 0.02863, 0.30148,
 12:21:18.077,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:13.250, -0.138, -0.015, 1.017, 0.427, -57.861, -0.183, -1.423, 13.057, 131.265, 0.000, 0.000, -3211.264, 24.95, 0.40469, -0.1745, 0.06415, 0.89529,
 12:21:18.093,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.880, 0.02, 0.011, 1.027, -0.305, 16.541, 0, 0.456, 6.647, 35.178, 0.000, 0.000, -3211.264, 25.1, 0.95297, -0.00452, 0.02863, 0.30148,
 12:21:18.106,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:13.250, -0.082, -0.013, 1.003, 0.427, -58.899, -0.122, -1.373, 10.272, 131.336, 0.000, 0.000, -3211.264, 24.95, 0.40469, -0.1745, 0.06415, 0.89529,
