Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 19:05:56.502,COM13, 2000-00-00 00:27:17.675, -0.081, 0.037, 0.982, -9.460, 6.958, 87.402, 3.098, 5.938, 131.078, -35.707, -35.887, -183.667, 31.29,,,,,,,,,,,,,,,,
 19:05:56.502,COM14, 2000-00-06 17:25:57.278, 0.063, -0.125, 0.903, 0.122, -2.380, 41.016, -0.786, -0.588, 36.310, -21.087, 37.380, -28.987, 31.48,,,,,,,,,,,,,,,,
 19:05:56.518,COM16, 2000-00-00 00:25:59.590, 0.036, 0.047, 0.990, -8.423, -7.629, 38.391, -2.571, -1.335, 4.834, -1.767, 25.487, -39.327, 31.37,,,,,,,,,,,,,,,,
 19:05:56.518,COM16, 2000-00-00 00:25:59.600, 0.120, 0.047, 0.990, -8.423, -7.629, 38.391, -2.648, -1.390, 5.186, -1.560, 25.747, -39.487, 31.37,,,,,,,,,,,,,,,,
 19:05:56.518,COM16, 2000-00-00 00:25:59.610, 0.120, -0.144, 1.081, -4.944, -3.662, 39.795, -2.697, -1.406, 5.554, -1.073, 25.920, -39.560, 31.32,,,,,,,,,,,,,,,,
 19:05:56.518,COM16, 2000-00-00 00:25:59.620, 0.012, -0.144, 1.081, -4.944, -3.662, 39.795, -2.747, -1.428, 5.927, -0.693, 26.047, -39.553, 31.32,,,,,,,,,,,,,,,,
 19:05:56.533,COM16, 2000-00-00 00:25:59.630, 0.012, -0.062, 0.970, 8.362, 6.714, 41.931, -2.664, -1.346, 6.323, -0.440, 25.847, -39.607, 31.37,,,,,,,,,,,,,,,,
 19:05:56.533,COM16, 2000-00-00 00:25:59.640, -0.083, -0.062, 0.970, 8.362, 6.714, 41.931, -2.587, -1.263, 6.713, -0.273, 26.013, -39.667, 31.37,,,,,,,,,,,,,,,,
 19:05:56.533,COM16, 2000-00-00 00:25:59.650, -0.083, 0.040, 0.946, -11.353, -4.883, 39.185, -2.697, -1.291, 7.081, -0.127, 26.447, -39.673, 31.34,,,,,,,,,,,,,,,,
 19:05:56.533,COM13, 2000-00-00 00:27:17.695, -0.063, 0.030, 1.004, -7.446, 7.507, 86.914, 3.082, 6.031, 132.830, -35.087, -40.593, -178.080, 31.28,,,,,,,,,,,,,,,,
 19:05:56.534,COM13, 2000-00-00 00:27:17.715, -0.083, 0.043, 1.083, -8.728, 2.197, 88.013, 3.065, 6.048, 134.588, -34.853, -44.427, -172.380, 31.30,,,,,,,,,,,,,,,,
